,High,Low,Open,Close,Day,Month,Year
1929,3207.880371,3129.416504,3138.826172,3177.593018,17,7,2020
1930,3198.445068,3136.979248,3177.593018,3187.094727,18,7,2020
1931,3198.613525,3113.699463,3186.977295,3137.706299,19,7,2020
1932,3276.941162,3130.983887,3137.570557,3251.300293,20,7,2020
1933,3357.145996,3238.785889,3250.602783,3352.685791,21,7,2020
1934,3392.269043,3335.67749,3352.945313,3357.19873,22,7,2020
1935,3359.474121,3300.282471,3357.200928,3301.5271,23,7,2020
1936,3673.645752,3292.960205,3295.901855,3646.921387,24,7,2020
1937,3764.540771,3565.547363,3649.299316,3586.891846,25,7,2020
1938,4108.921387,3552.407227,3586.520752,3960.780762,26,7,2020
1939,4276.258301,3884.783447,3969.080566,4162.61084,27,7,2020
1940,4239.963867,4116.894531,4163.846191,4127.731934,28,7,2020
1941,4341.34668,4047.653809,4122.408203,4235.166016,29,7,2020
1942,4400.990723,4169.398438,4236.043457,4345.794434,30,7,2020
1943,4620.415527,4308.838379,4345.794434,4592.695313,31,7,2020
1944,4829.910156,4181.282227,4590.169922,4243.466797,1,8,2020
1945,4485.954102,4205.649414,4242.227539,4394.847656,2,8,2020
1946,4465.964844,4271.375977,4394.355469,4318.51709,3,8,2020
1947,4470.336426,4285.70166,4321.756348,4413.855469,4,8,2020
1948,4537.102051,4342.510742,4412.077148,4431.612793,5,8,2020
1949,4560.20459,4190.561035,4430.41748,4294.88916,6,8,2020
1950,4392.228516,4250.311035,4291.913574,4361.172852,7,8,2020
1951,4401.001953,4235.828125,4368.588867,4286.85791,8,8,2020
1952,4437.42041,4285.187012,4285.187012,4364.444824,9,8,2020
1953,4450.645508,3975.90332,4364.444824,4058.155762,10,8,2020
1954,4151.560547,3914.011475,4056.629883,4109.953613,11,8,2020
1955,4329.399414,3917.123535,4111.458984,4320.433105,12,8,2020
1956,4338.35791,4220.583008,4317.438965,4248.237793,13,8,2020
1957,4519.438965,4246.234863,4246.234863,4485.878418,14,8,2020
1958,4813.249512,4441.187012,4486.949707,4780.802246,15,8,2020
1959,5123.958008,4628.957031,4780.802246,5010.138184,16,8,2020
1960,5085.126953,4795.825684,5012.240234,4886.824219,17,8,2020
1961,4994.22168,4466.83252,4888.845703,4648.598633,18,8,2020
1962,4766.393066,4594.815918,4649.748535,4721.823242,19,8,2020
1963,4772.25293,4433.818359,4717.265137,4449.228516,20,8,2020
1964,4530.353027,4367.52002,4448.032227,4519.072754,21,8,2020
1965,4607.324707,4371.404297,4515.449707,4542.019043,22,8,2020
1966,4659.662109,4515.668945,4542.019043,4614.808594,23,8,2020
1967,4625.384277,4251.672363,4615.97168,4348.935059,24,8,2020
1968,4379.863281,4252.585938,4338.643555,4333.739258,25,8,2020
1969,4371.985352,4046.749512,4329.322754,4134.383789,26,8,2020
1970,4257.779785,4111.078125,4139.027832,4194.241699,27,8,2020
1971,4258.048828,4177.834961,4200.418945,4189.658691,28,8,2020
1972,4592.220215,4180.831055,4183.516113,4587.013184,29,8,2020
1973,4643.023438,4450.446777,4595.694824,4488.062988,30,8,2020
1974,4689.431152,4434.928711,4487.422363,4594.616211,31,8,2020
1975,4607.338379,4187.499512,4593.77832,4255.958984,1,9,2020
1976,4286.942871,3456.577637,4249.617676,3509.075439,2,9,2020
1977,3826.480225,3465.072998,3509.450195,3707.13501,3,9,2020
1978,3758.855469,3380.052979,3707.66626,3485.738281,4,9,2020
1979,3581.414551,3414.933105,3486.26709,3521.872559,5,9,2020
1980,3603.807373,3351.52002,3520.432617,3581.932861,6,9,2020
1981,3625.77002,3407.42749,3584.504639,3496.310791,7,9,2020
1982,3583.000977,3444.927246,3495.835205,3512.220947,8,9,2020
1983,3623.695068,3512.645996,3514.090576,3582.37207,9,9,2020
1984,3630.45459,3484.028809,3582.37207,3606.943359,10,9,2020
1985,3763.549805,3576.278564,3604.590088,3733.866699,11,9,2020
1986,3742.262451,3491.993652,3729.735352,3531.836914,12,9,2020
1987,3667.757568,3476.55835,3530.633545,3603.197998,13,9,2020
1988,3677.486084,3558.942383,3605.197266,3562.012207,14,9,2020
1989,3582.973877,3494.097412,3567.130615,3525.561523,15,9,2020
1990,3641.469482,3520.983643,3529.035889,3596.553223,16,9,2020
1991,3604.046631,3516.404297,3592.962646,3567.355225,17,9,2020
1992,3609.311523,3548.601074,3568.736816,3583.108887,18,9,2020
1993,3582.646973,3417.800537,3582.454346,3463.540039,19,9,2020
1994,3492.140137,3132.033447,3465.643799,3192.654541,20,9,2020
1995,3290.803467,3172.423828,3190.391602,3274.206055,21,9,2020
1996,3311.264893,3152.921875,3275.727783,3175.724854,22,9,2020
1997,3326.958252,3152.752197,3175.724854,3323.854736,23,9,2020
1998,3421.990234,3252.62915,3330.297119,3390.820801,24,9,2020
1999,3422.078369,3348.342773,3388.738281,3399.848389,25,9,2020
2000,3425.289307,3308.349365,3393.835938,3390.948486,26,9,2020
2001,3454.5625,3334.622314,3394.869629,3339.393311,27,9,2020
2002,3380.736572,3327.597412,3337.950439,3369.157959,28,9,2020
2003,3428.891357,3356.721191,3370.793457,3403.503418,29,9,2020
2004,3545.592529,3352.334717,3399.762695,3390.44165,30,9,2020
2005,3439.647217,3231.223633,3390.44165,3298.029541,1,10,2020
2006,3378.288818,3293.139893,3298.473145,3347.417236,2,10,2020
2007,3445.261719,3335.63623,3348.018311,3427.893311,3,10,2020
2008,3446.756836,3346.635986,3427.424316,3391.077393,4,10,2020
2009,3531.882324,3359.208984,3389.760254,3388.197266,5,10,2020
2010,3439.395508,3341.50415,3388.197266,3423.048584,6,10,2020
2011,3482.500488,3358.41626,3420.164795,3461.724609,7,10,2020
2012,3677.828369,3485.875977,3485.875977,3569.341797,9,10,2020
2013,3738.819824,3565.272217,3568.890625,3703.900391,10,10,2020
2014,3733.480469,3622.343994,3671.454834,3653.525635,13,10,2020
2015,3685.939697,3602.865723,3651.995361,3631.182861,14,10,2020
2016,3661.179199,3389.931885,3634.452148,3502.779785,15,10,2020
2017,3506.768799,3433.250244,3506.768799,3455.852783,16,10,2020
2018,3516.390869,3449.9375,3456.256104,3497.372559,17,10,2020
2019,3557.644043,3448.682129,3498.981934,3530.330566,18,10,2020
2020,3552.36499,3431.043701,3530.597168,3457.359131,19,10,2020
2021,4020.861572,3458.643066,3458.227295,3910.809326,20,10,2020
2022,4124.150879,3908.17334,3908.638916,4000.974365,21,10,2020
2023,4170.183594,3923.563477,4003.343506,4078.501465,22,10,2020
2024,4380.228027,4047.185303,4078.504395,4363.272461,23,10,2020
2025,4413.133789,4183.539063,4363.272461,4332.318848,24,10,2020
2026,4363.391113,4084.386719,4332.320313,4196.279785,26,10,2020
2027,4342.068848,4180.957031,4196.277832,4267.127441,27,10,2020
2028,4449.458496,4061.723633,4267.129395,4135.620605,28,10,2020
2029,4164.970215,3981.602295,4135.624023,4068.144531,29,10,2020
2030,4124.726563,3915.980469,4068.152344,4016.8396,30,10,2020
2031,4186.225098,3994.332275,4016.839844,4147.803711,31,10,2020
2032,4176.452148,4053.601563,4147.803711,4148.810059,1,11,2020
2033,4236.728027,3962.196533,4148.787598,4007.265869,2,11,2020
2034,4038.951904,3836.963379,4007.260498,4018.272461,3,11,2020
2035,4080.36792,3844.880127,4018.260986,4043.329346,4,11,2020
2036,4390.706055,4043.534668,4043.534668,4350.276367,5,11,2020
2037,4681.553223,4334.474609,4350.105469,4670.512207,6,11,2020
2038,4764.540039,4260.737793,4670.512207,4375.515137,7,11,2020
2039,4572.983398,4356.101563,4375.515137,4516.72998,8,11,2020
2040,4564.264648,4287.614746,4516.728027,4390.398438,9,11,2020
2041,4414.050293,4281.627441,4390.515625,4326.178711,10,11,2020
2042,4510.706055,4323.774414,4326.172852,4436.473633,11,11,2020
2043,4511.901367,4351.039551,4436.437988,4520.612305,12,11,2020
2044,4927.708008,4516.605469,4520.579102,4879.041992,13,11,2020
2045,4907.282227,4615.907715,4879.04248,4753.591309,14,11,2020
2046,4781.372559,4564.29248,4753.591797,4642.214355,15,11,2020
2047,5355.736328,4634.098633,4642.214355,5307.981445,16,11,2020
2048,5698.585449,5304.636719,5469.83252,5655.175781,17,11,2020
2049,5699.537109,5160.020996,5654.990723,5471.130371,18,11,2020
2050,6168.160645,5332.712402,5471.185547,6053.012695,19,11,2020
